Date,Date Fraction,10833.15,10832.13,10831.00,10830.30,10829.60,10828.47,10827.45,10833.15 error,10832.13 error,10831.00 error,10830.30 error,10829.60 error,10828.47 error,10827.45 error
2017-02-17,2017.131506849315,0.035320362141839756,0.03530189708305088,0.03533646791114766,0.035243810928727165,0.035351031061975305,0.035386750757336174,0.03531553719937517,4.898309729289864e-05,5.176702134748185e-05,5.139192411907139e-05,5.247215940823544e-05,4.903288295873908e-05,5.213133754839044e-05,5.22789251078739e-05
2017-05-05,2017.3424657534247,0.03540915215672489,0.03534444409679219,0.03534848718417889,0.03533424333190659,0.03538830312169314,0.035401684357948354,0.03535933728275177,5.324736998790589e-05,5.133034469428547e-05,4.701475701470936e-05,5.103385215712133e-05,5.591195971489977e-05,4.999868984067007e-05,4.821405951981565e-05
2017-05-06,2017.345205479452,0.035462958037915666,0.03540838662876594,0.03529832346463483,0.03533946348680755,0.03535128102009559,0.03534288134587044,0.03533676163242174,4.616354431845219e-05,4.642660315945157e-05,5.0331607406942556e-05,5.461418891394786e-05,5.3038379588741485e-05,4.959766226111974e-05,4.701150081862508e-05
2017-05-07,2017.3479452054794,0.035336914011350445,0.035414108689369186,0.035450641210356855,0.03530221894701477,0.03537684141156005,0.03532381877157658,0.03537400122864942,5.082542191094143e-05,4.488725292668677e-05,5.02992557224687e-05,5.073177319041545e-05,5.2599043330534245e-05,5.054808600699869e-05,4.569737689074287e-05
2017-05-08,2017.3506849315067,0.03546265158234719,0.03536499077672641,0.03550028167893329,0.035413388570591155,0.03536506422310157,0.03536186372679621,0.035467599673898655,4.932158696586161e-05,5.047900932656708e-05,5.6280269376903335e-05,5.342811391035749e-05,5.425480151184796e-05,4.9942180451634515e-05,5.6357545956190924e-05
2017-05-10,2017.3561643835617,0.03533495020325143,0.03535369674561783,0.035371048397490744,0.03529959938748214,0.03539108721650703,0.03525976063563833,0.03543477403032251,4.837041907346045e-05,5.3884858052806265e-05,5.2138557529864365e-05,5.268548866249005e-05,5.3999923142735325e-05,5.183624215667386e-05,5.161672839509201e-05
2017-05-11,2017.358904109589,0.0354381510284348,0.03540965869350764,0.03536381594143456,0.03534547626968494,0.03532807368600108,0.03544775882711079,0.03537524725858199,4.949458001754642e-05,4.842739759782197e-05,4.8242551175563256e-05,5.417721917440841e-05,4.5000271628435974e-05,5.1387815101378545e-05,5.1465373114074565e-05
2017-05-12,2017.3616438356164,0.035317351485890554,0.03548250235171658,0.03528836267345035,0.03533803387927577,0.03535831990101165,0.03549620327209271,0.03537666402350583,4.769424708868946e-05,5.075217695870823e-05,4.5932324195058873e-05,4.971243091824133e-05,5.4601939489287515e-05,4.4020664143957266e-05,4.696543981050659e-05
2017-05-13,2017.3643835616438,0.03542289406868621,0.03544990654191854,0.035432163508968946,0.0354081219440061,0.03533221118056716,0.0353163905020867,0.035346796573634626,5.0939590672830534e-05,4.97945994912843e-05,4.512632016927361e-05,5.1050647778151067e-05,5.0990106874026364e-05,5.437428526046083e-05,4.833431215140927e-05
2017-05-14,2017.3671232876711,0.03541896512794115,0.03542916923619178,0.035390116766900175,0.03537750561307647,0.03547769360840942,0.035378553293883036,0.03537764487830001,5.0520680854561265e-05,4.791926962898561e-05,5.0397946998895336e-05,4.641286933315682e-05,4.8288357810272814e-05,5.410524380643767e-05,4.5944285389403874e-05
